start_day,end_day,duration,profit,is_buying,trade_amount,returns
1,1,0,-2.999999999999999,False,1000.0,-0.002999999999999999
3,3,0,-2.999910000000003,False,999.97,-0.0030000000000000027
4,4,0,-2.999820002699964,False,999.9400009000001,-0.0029999999999999636
9,9,0,-2.9997300080999616,True,999.9100026999731,-0.003000000000000042
10,10,0,-2.999640016199643,False,999.8800053998923,-0.002999999999999966
12,12,0,39.99400035998931,True,999.8500089997303,0.04000000000000009
13,13,0,-3.0007498470099923,True,1000.2499490033302,-0.0030000000000000014
14,14,0,-3.000659824514596,False,1000.21994150486,-0.0030000000000000157
16,16,0,-3.0005698047198925,False,1000.1899349066148,-0.003000000000000048
19,19,0,-3.000479787625664,False,1000.1599292085676,-0.0029999999999999615
21,21,0,-3.000389773232034,False,1000.1299244106914,-0.00299999999999996
22,22,0,-3.000299761538841,False,1000.099920512959,-0.002999999999999964
23,23,0,-3.0002097525460414,False,1000.0699175153436,-0.0030000000000000105
27,27,0,40.0015966167128,False,1000.0399154178182,0.04000000000000008
28,28,0,40.017597255359476,True,1000.4399313839853,0.04000000000000006
33,33,0,-3.002520322069603,False,1000.840107356539,-0.002999999999999986
36,36,0,-3.0024302464599266,True,1000.8100821533184,-0.0029999999999999714
38,38,0,-3.002340173552626,False,1000.7800578508538,-0.0030000000000000642
40,40,0,-3.00225010334742,False,1000.7500344491183,-0.003000000000000065
42,42,0,-3.002160035844265,True,1000.7200119480849,-0.00300000000000001
43,43,0,-3.0020699710431438,False,1000.6899903477264,-0.0029999999999999645
44,44,0,-3.001979908944087,True,1000.659969648016,-0.003000000000000039
45,45,0,-3.001889849546714,True,1000.6299498489267,-0.002999999999999934
46,46,0,-3.0017997928512394,False,1000.5999309504311,-0.002999999999999946
48,48,0,-3.00170973885747,False,1000.5699129525027,-0.002999999999999962
49,49,0,-3.001619687565366,False,1000.5398958551141,-0.0030000000000000235
51,51,0,-3.0015296389747075,True,1000.5098796582383,-0.0029999999999999927
52,52,0,-3.001439593085502,True,1000.4798643618487,-0.002999999999999956
54,54,0,-3.0013495498977707,True,1000.449849965918,-0.0030000000000000165
55,55,0,-3.00125950941129,False,1000.419836470419,-0.003000000000000033
56,56,0,-3.0011694716259614,True,1000.3898238753249,-0.0029999999999999866
57,57,0,-3.0010794365417577,False,1000.3598121806084,-0.0029999999999999324
59,59,0,-3.000989404158766,False,1000.3298013862429,-0.0030000000000000374
60,60,0,-3.0008993744766483,True,1000.2997914922014,-0.0030000000000000443
61,61,0,-3.0008093474953554,False,1000.2697824984566,-0.0029999999999999858
62,62,0,-3.0007193232149953,True,1000.2397744049817,-0.00300000000000005
63,63,0,-3.0006293016352648,True,1000.2097672117496,-0.0030000000000000157
65,65,0,-3.0005392827562494,True,1000.1797609187332,-0.0030000000000000495
67,67,0,-3.000449266577699,False,1000.1497555259057,-0.0029999999999999823
69,69,0,-3.0003592530997643,True,1000.1197510332397,-0.003000000000000045
70,70,0,-3.000269242322079,False,1000.0897474407087,-0.002999999999999953
71,71,0,-3.00017923424491,True,1000.0597447482854,-0.0030000000000000534
72,72,0,-3.000089228867862,True,1000.029742955943,-0.003000000000000033
73,73,0,-2.9999992261909414,False,999.9997420636543,-0.002999999999999979
75,75,0,-2.999909226214135,True,999.9697420713924,-0.002999999999999958
77,77,0,-2.999819228937344,False,999.9397429791303,-0.0029999999999999532
78,78,0,-2.9997292343604895,True,999.9097447868409,-0.002999999999999967
80,80,0,-2.999639242483468,False,999.8797474944973,-0.002999999999999976
83,83,0,-2.9995492533062134,True,999.8497511020723,-0.002999999999999996
84,84,0,-2.999459266828599,True,999.8197556095394,-0.002999999999999981
88,88,0,-2.9993692830505454,False,999.7897610168711,-0.002999999999999932
89,89,0,-2.999279301972134,True,999.7597673240406,-0.003000000000000012
91,91,0,-2.9991893235930482,True,999.729774531021,-0.0029999999999999853
94,94,0,-2.999099347913413,False,999.6997826377851,-0.0030000000000000577
96,96,0,-2.9990093749328253,True,999.669791644306,-0.0029999999999999073
97,97,0,39.985592062022306,False,999.6398015505566,0.04000000000000004
99,99,0,-3.000118972413582,True,1000.0396574711768,-0.0030000000000000517
100,100,0,-3.00002896884437,False,1000.0096562814526,-0.003000000000000012
101,101,0,-2.9999389679752246,True,999.9796559917642,-0.002999999999999932
106,106,0,-2.9998489698062825,False,999.9496566020845,-0.003000000000000029
107,107,0,-2.9997589743371713,False,999.9196581123864,-0.003000000000000012
108,108,0,-2.9996689815679574,True,999.8896605226431,-0.003000000000000028
109,109,0,-2.9995789914985442,False,999.8596638328273,-0.003000000000000062
110,110,0,-2.9994890041287467,True,999.8296680429124,-0.0030000000000000096
111,111,0,-2.9993990194586146,True,999.799673152871,-0.0030000000000000014
114,114,0,-2.9993090374880786,False,999.7696791626763,-0.00300000000000005
115,115,0,-2.999219058216867,False,999.7396860723014,-0.0029999999999999628
116,116,0,-2.9991290816451497,False,999.7096938817193,-0.002999999999999992
117,117,0,-2.999039107772774,True,999.6797025909029,-0.003000000000000065
118,118,0,-2.998949136599508,False,999.6497121998252,-0.003000000000000032
119,119,0,-2.998859168125437,True,999.6197227084592,-0.0030000000000000595
121,121,0,-2.9987692023502817,False,999.5897341167779,-0.002999999999999948
122,122,0,-2.9986792392742365,True,999.5597464247544,-0.002999999999999973
125,125,0,-2.998589278897132,True,999.5297596323617,-0.003000000000000047
126,126,0,-2.9984993212186684,False,999.4997737395727,-0.00299999999999995
127,127,0,-2.998409366239025,False,999.4697887463605,-0.0029999999999999437
128,128,0,-2.9983194139580505,False,999.4398046526981,-0.0029999999999999563
129,129,0,-2.9982294643757013,True,999.4098214585586,-0.0030000000000000256
133,133,0,-2.9981395174917767,True,999.3798391639149,-0.003000000000000032
135,135,0,-2.9980495733062464,True,999.3498577687401,-0.003000000000000026
141,141,0,-2.99795963181908,True,999.319877273007,-0.003000000000000059
143,143,0,-2.9978696930300304,True,999.2898976766888,-0.0029999999999999636
144,144,0,-2.9977797569393285,False,999.2599189797585,-0.003000000000000053
145,145,0,-2.9976898235465503,False,999.2299411821891,-0.002999999999999983
148,148,0,-2.9975998928518686,True,999.1999642839536,-0.003000000000000008
149,149,0,-2.9975099648550283,False,999.1699882850252,-0.002999999999999953
152,152,0,-2.997420039556078,True,999.1400131853766,-0.002999999999999948
154,154,0,-2.9973301169549913,True,999.1100389849811,-0.003000000000000048
157,157,0,-2.997240197051406,False,999.0800656838115,-0.0029999999999999714
159,159,0,-2.9971502798454988,False,999.0500932818411,-0.0029999999999999753
160,160,0,-2.9970603653371355,True,999.0201217790427,-0.0030000000000000074
161,161,0,-2.996970453526207,True,998.9901511753893,-0.003000000000000039
163,163,0,-2.9968805444125604,True,998.9601814708542,-0.002999999999999998
166,166,0,-2.996790637996256,False,998.93021266541,-0.003000000000000026
168,168,0,-2.9967007342770446,True,998.9002447590301,-0.002999999999999954
172,172,0,-2.996610833255019,True,998.8702777516872,-0.0029999999999999576
174,174,0,-2.996520934930116,False,998.8403116433547,-0.003000000000000052
176,176,0,-2.9964310393020233,False,998.8103464340055,-0.0030000000000000066
178,178,0,-2.9963411463707916,False,998.7803821236124,-0.0029999999999999545
179,179,0,-2.9962512561365093,True,998.7504187121486,-0.0030000000000000634
180,180,0,-2.9961613685987523,True,998.7204561995873,-0.0029999999999999905
182,182,0,-2.9960714837577482,False,998.6904945859012,-0.0030000000000000447
184,184,0,-2.995981601613158,False,998.6605338710636,-0.002999999999999967
185,185,0,-2.9958917221651595,False,998.6305740550475,-0.003000000000000017
186,186,0,-2.9958018454134607,True,998.6006151378258,-0.002999999999999983
188,188,0,-2.9957119713581846,False,998.5706571193717,-0.0030000000000000695
189,189,0,-2.995622099998904,True,998.5406999996582,-0.0029999999999999294
193,193,0,-2.9955322313359507,True,998.5107437786581,-0.002999999999999976
194,194,0,39.939231538253765,False,998.4807884563446,0.03999999999999998
197,197,0,-2.9966405423151943,False,998.880180771727,-0.003000000000000013
198,198,0,-2.996550643098943,True,998.8502143663038,-0.0030000000000000317
199,199,0,-2.9964607465795834,False,998.8202488598728,-0.002999999999999965
200,200,0,-2.9963708527572432,True,998.790284252407,-0.003000000000000022
201,201,0,-2.9962809616316366,True,998.7603205438795,-0.002999999999999998
202,202,0,-2.9961910732027635,True,998.7303577342633,-0.0029999999999999736
204,204,0,-2.996101187470621,True,998.7003958235312,-0.003000000000000028
206,206,0,-2.9960113044350165,False,998.6704348116565,-0.003000000000000047
207,207,0,-2.995921424095904,True,998.6404746986121,-0.0030000000000000673
210,210,0,-2.9958315464532,False,998.6105154843711,-0.003000000000000087
211,211,0,-2.9957416715066465,False,998.5805571689067,-0.0029999999999999263
212,212,0,-2.995651799256601,False,998.5505997521915,-0.0030000000000000265
214,214,0,-2.99556192970268,False,998.5206432341988,-0.0030000000000000838
216,216,0,-2.995472062844776,True,998.4906876149018,-0.0030000000000000703
217,217,0,-2.9953821986827576,True,998.4607328942734,-0.002999999999999937
218,218,0,-2.995292337216921,False,998.4307790722866,-0.0030000000000000616
219,219,0,-2.9952024784466964,True,998.4008261489143,-0.0029999999999999532
220,220,0,-2.9951126223723965,False,998.3708741241298,-0.003000000000000007
222,222,0,-2.9950227689937656,False,998.3409229979061,-0.0030000000000000473
223,223,0,-2.9949329183106284,False,998.3109727702162,-0.0029999999999999797
225,225,0,-2.9948430703231272,False,998.2810234410332,-0.003000000000000028
228,228,0,-2.9947532250309683,True,998.2510750103299,-0.0029999999999999784
229,229,0,-2.994663382434272,True,998.2211274780798,-0.0030000000000000326
230,230,0,-2.994573542532819,False,998.1911808442553,-0.0030000000000000534
231,231,0,-2.994483705326528,True,998.16123510883,-0.003000000000000038
234,234,0,-2.9943938708153692,True,998.1312902717768,-0.0030000000000000387
237,237,0,-2.994304038999241,True,998.1013463330687,-0.0030000000000000348
239,239,0,-2.9942142098780398,True,998.0714032926786,-0.003000000000000004
242,242,0,-2.9941243834517293,False,998.0414611505798,-0.0029999999999999897
243,243,0,-2.994034559720262,True,998.0115199067452,-0.003000000000000026
245,245,0,-2.9939447386833864,True,997.981579561148,-0.0029999999999999424
247,247,0,39.91806560455047,True,997.9516401137611,0.04000000000000003
250,250,0,-2.9950524623094372,True,998.3508207698067,-0.0030000000000000174
253,253,0,-2.9949626107356084,True,998.3208702451835,-0.0030000000000000577
254,254,0,-2.994872761857311,False,998.2909206190762,-0.0030000000000000825
256,256,0,-2.9947829156743846,False,998.2609718914576,-0.0030000000000000118
257,257,0,-2.994693072186874,True,998.2310240623009,-0.0029999999999999714
258,258,0,39.92804308526329,False,998.2010771315789,0.04000000000000013
261,261,0,-2.9958010726873128,True,998.6003575624314,-0.0030000000000000183
262,262,0,-2.995711198655093,True,998.5703995517047,-0.002999999999999979
264,264,0,-2.9956213273191983,True,998.540442439718,-0.0030000000000000443
266,266,0,-2.9955314586793005,False,998.510486226445,-0.0029999999999999654
268,268,0,-2.995441592735594,True,998.4805309118583,-0.003000000000000019
269,269,0,-2.995351729487787,False,998.4505764959309,-0.002999999999999994
273,273,0,-2.9952618689358577,False,998.420622978636,-0.0029999999999999498
277,277,0,-2.995172011079768,False,998.3906703599465,-0.002999999999999928
279,279,0,-2.9950821559194787,False,998.3607186398357,-0.0029999999999999714
282,282,0,-2.9949923034548562,True,998.3307678182765,-0.003000000000000027
283,283,0,-2.9949024536857958,True,998.300817895242,-0.00300000000000007
285,285,0,-2.9948126066121383,False,998.270868870705,-0.003000000000000023
286,286,0,-2.994722762233831,False,998.2409207446389,-0.002999999999999914
290,290,0,-2.9946329205511324,False,998.2109735170166,-0.003000000000000083
294,294,0,-2.994543081563491,True,998.181027187811,-0.003000000000000058
297,297,0,-2.9944532452710284,False,998.1510817569954,-0.003000000000000042
299,299,0,-2.994363411673676,False,998.1211372245427,-0.0030000000000000478
300,300,0,-2.994273580771351,True,998.091193590426,-0.0030000000000000734
301,301,0,-2.994183752563808,True,998.0612508546183,-0.0029999999999999532
302,302,0,-2.99409392705134,False,998.0313090170926,-0.0030000000000000625
308,308,0,-2.9940041042334253,True,998.001368077822,-0.0029999999999999593
309,309,0,-2.9939142841103266,False,997.9714280367797,-0.0029999999999999875
311,311,0,-2.993824466681793,True,997.9414888939386,-0.0029999999999999766
312,312,0,-2.993734651947845,True,997.9115506492718,-0.0030000000000000296
313,313,0,-2.993644839908266,False,997.8816133027524,-0.0030000000000000087
316,316,0,-2.9935550305630345,False,997.8516768543533,-0.0029999999999999745
317,317,0,-2.993465223912163,True,997.8217413040478,-0.0030000000000000196
318,318,0,-2.9933754199553735,True,997.7918066518087,-0.0029999999999999476
319,319,0,-2.993285618692814,True,997.7618728976091,-0.0029999999999999866
321,321,0,-2.993195820124297,True,997.7319400414223,-0.0030000000000000304
322,322,0,-2.9931060242496192,False,997.7020080832209,-0.0029999999999999563
323,323,0,-2.993016231068966,True,997.6720770229786,-0.0030000000000000304
325,325,0,-2.992926440581979,True,997.6421468606678,-0.0029999999999999758
326,326,0,-2.9928366527888586,True,997.6122175962621,-0.0030000000000000725
328,328,0,-2.9927468676891738,True,997.5822892297342,-0.002999999999999971
329,329,0,-2.9926570852830947,False,997.5523617610572,-0.002999999999999923
331,331,0,-2.9925673055705646,True,997.5224351902044,-0.002999999999999951
332,332,0,-2.992477528551434,False,997.4925095171487,-0.0029999999999999875
335,335,0,-2.9923877542255415,False,997.4625847418632,-0.0029999999999999515
336,336,0,-2.9922979825930414,True,997.432660864321,-0.0030000000000000786
338,338,0,-2.9922082136534724,True,997.402737884495,-0.0029999999999999875
340,340,0,-2.9921184474070577,True,997.3728158023586,-0.002999999999999982
344,344,0,-2.992028683853631,True,997.3428946178844,-0.0029999999999999775
349,349,0,-2.9919389229931146,True,997.3129743310459,-0.0029999999999999766
350,350,0,-2.99184916482542,True,997.283054941816,-0.0029999999999999723
357,357,0,-2.991759409350532,False,997.2531364501676,-0.0030000000000000296
361,361,0,-2.9916696565682397,False,997.2232188560743,-0.003000000000000017
362,362,0,39.88773208638036,True,997.1933021595087,0.040000000000000015
367,367,0,-2.9927765384410465,True,997.5921794803725,-0.002999999999999929
370,370,0,-2.9926867551450376,False,997.5622517149881,-0.0030000000000000734
372,372,0,-2.992596974542251,False,997.5323248474367,-0.002999999999999941
373,373,0,-2.992507196633011,False,997.5023988776913,-0.0029999999999999367
374,374,0,39.89889895222912,True,997.4724738057249,0.04000000000000012
376,376,0,39.91485851180995,True,997.8714627952472,0.04000000000000006
379,379,0,-2.9948118341410743,True,998.2706113803653,-0.0029999999999999784
382,382,0,-2.9947219897860893,True,998.2406632620239,-0.003000000000000018
385,385,0,-2.9946321481264326,True,998.210716042126,-0.0030000000000000547
386,386,0,-2.9945423091620373,False,998.1807697206448,-0.0030000000000001033
389,389,0,-2.994452472892555,False,998.1508242975532,-0.002999999999999895
391,391,0,-2.994362639318497,False,998.1208797728243,-0.003000000000000024
392,392,0,-2.9942728084393266,True,998.0909361464312,-0.003000000000000033
394,394,0,-2.994182980255012,False,998.0609934183468,-0.002999999999999972
396,396,0,-2.9940931547656273,True,998.0310515885442,-0.002999999999999995
401,401,0,-2.994003331970967,False,998.0011106569965,-0.0029999999999999775
402,402,0,-2.993913511871099,False,997.9711706236768,-0.0030000000000000686
403,403,0,-2.99382369446569,True,997.9412314885582,-0.0030000000000000157
407,407,0,-2.9937338797548296,False,997.9112932516135,-0.0029999999999999892
409,409,0,-2.9936440677384137,True,997.8813559128159,-0.002999999999999966
410,410,0,-2.9935542584164945,True,997.8514194721386,-0.003000000000000079
411,411,0,-2.993464451788692,False,997.8214839295543,-0.003000000000000029
413,413,0,-2.9933746478550556,False,997.7915492850365,-0.002999999999999946
414,414,0,-2.99328484661563,False,997.761615538558,-0.0029999999999999563
418,418,0,-2.99319504807026,True,997.7316826900917,-0.002999999999999985
419,419,0,-2.9931052522188897,False,997.701750739611,-0.003000000000000057
422,422,0,-2.9930154590612834,True,997.6718196870889,-0.0030000000000000165
425,425,0,-2.992925668597506,True,997.6418895324982,-0.0030000000000000113
427,427,0,-2.9928358808274567,True,997.6119602758122,-0.00300000000000002
428,428,0,-2.9927460957509777,False,997.582031917004,-0.002999999999999966
431,431,0,-2.99265631336814,True,997.5521044560464,-0.003000000000000001
432,432,0,-2.992566533678691,False,997.5221778929127,-0.002999999999999953
433,433,0,-2.992476756682771,False,997.4922522275759,-0.0030000000000000434
434,434,0,-2.9923869823800073,False,997.4623274600091,-0.00299999999999998
436,436,0,-6.773235275168302,False,997.4324035901853,-0.0067906709775905965
437,437,0,-2.9920940137123178,True,997.3646712374336,-0.003000000000000017
439,439,0,-2.992004250891833,False,997.3347502972966,-0.0029999999999999433
440,440,0,-2.9919144907643855,False,997.3048302547877,-0.0030000000000000226
444,444,0,-2.991824733329611,True,997.2749111098801,-0.0029999999999999706
447,447,0,-2.991734978587694,True,997.2449928625468,-0.003000000000000054
448,448,0,-2.9916452265383393,True,997.215075512761,-0.0030000000000000564
449,449,0,-2.9915554771815405,True,997.1851590604955,-0.0030000000000000543
450,450,0,-2.99146573051722,True,997.1552435057238,-0.0030000000000000486
451,451,0,-2.991375986545298,False,997.1253288484186,-0.0030000000000000426
453,453,0,-2.9912862452656825,True,997.0954150885532,-0.003000000000000023
454,454,0,-2.991196506678354,False,997.0655022261005,-0.0030000000000000525
456,456,0,-2.9911067707832055,True,997.0355902610337,-0.0030000000000001046
461,461,0,-2.991017037579902,True,997.0056791933258,-0.0029999999999999246
462,462,0,-2.990927307068789,False,996.97576902295,-0.002999999999999939
463,463,0,-2.990837579249734,False,996.9458597498793,-0.0030000000000000963
464,464,0,-2.9907478541221977,True,996.915951374087,-0.0029999999999999367
465,465,0,-2.9906581316865855,False,996.8860438955456,-0.0029999999999999485
467,467,0,-2.990568411942711,True,996.8561373142287,-0.003000000000000025
470,470,0,-2.990478694890342,False,996.8262316301093,-0.0030000000000000144
473,473,0,-2.990388980529546,True,996.7963268431604,-0.0030000000000000647
478,478,0,-2.9902992688600305,True,996.7664229533551,-0.002999999999999965
479,479,0,-2.990209559882051,False,996.7365199606666,-0.0030000000000000517
